associatedMedia,data_provider_category_MachineObservation,scientificNameID_MachineObservation,data_provider_category_HumanObservation,scientificName_HumanObservation,scientificNameID_HumanObservation,higherClassification_group,Area,Biovolume,maxFeretDiameter,minFeretDiameter
http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T112345_IFCB102_01018.html,detritus,-999999,detritus,NotApplicable,NotApplicable,NotApplicable,,,,
http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T204151_IFCB102_00384.html,mix,urn:lsid:algaebase.org:taxname:86701,mix,Eukaryota,urn:lsid:algaebase.org:taxname:86701,other than diatoms dinoflagellates or haptophytes,,,,
http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T204151_IFCB102_00790.html,Bacillariophyceae,148899,detritus,NotApplicable,NotApplicable,NotApplicable,,,,
http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T210440_IFCB102_00472.html,detritus,-999999,detritus,NotApplicable,NotApplicable,NotApplicable,,,,
http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T232132_IFCB102_01165.html,camera_spot,1372979,detritus,NotApplicable,NotApplicable,NotApplicable,,,,
http://ifcb-data.whoi.edu/NESLTER_transect/D20180202T145652_IFCB102_04270.html,detritus,-999999,detritus,NotApplicable,NotApplicable,NotApplicable,,,,
http://ifcb-data.whoi.edu/NESLTER_transect/D20180204T051317_IFCB102_02710.html,detritus,-999999,detritus,NotApplicable,NotApplicable,NotApplicable,,,,
http://ifcb-data.whoi.edu/NESLTER_transect/D20180204T151652_IFCB102_01905.html,detritus,-999999,,,,,,,,
http://ifcb-data.whoi.edu/NESLTER_transect/D20180204T184304_IFCB102_00751.html,detritus,-999999,,,,,,,,
http://ifcb-data.whoi.edu/NESLTER_transect/D20180204T205712_IFCB102_02504.html,Bacillariophyceae,148899,,,,,,,,
