"id","name","international_id"
1,"Asterionellopsis glacialis",149139
2,"Ceratium",109506
3,"Chaetoceros",148985
4,"Corethron hystrix",179596
5,"Cylindrotheca",149003
6,"Dactyliosolen fragilissimus",149310
7,"Dactyliosolen blavyanus",179786
8,"Dictyocha",157258
9,"Dinobryon",157240
10,"Ditylum brightwellii",149023
11,"Ephemera",291403
12,"Eucampia cornuta",248058
13,"Guinardia delicatula",149112
14,"Guinardia flaccida",149132
15,"Leptocylindrus",149038
16,"Pleurosigma",149181
17,"Pseudo-nitzschia",291409
18,"Rhizosolenia",149069
19,"Skeletonema",149073
20,"Thalassionema",149092
21,"Thalassiosira",148912
22,"bad",""
23,"detritus",""
25,"mix",""
27,"cryptophyta",17638
28,"Dinophysis",109462
29,"Euglena",8012
30,"flagellate",""
31,"Gyrodinium",109476
33,"Lauderia annulata",149135
34,"Licmophora",149342
35,"Phaeocystis",115088
36,"Prorocentrum",109566
37,"Pyramimonas",134529
39,"Stephanopyxis",149630
40,"other",""
41,"Cerataulina pelagica",149619
42,"Coscinodiscus",148917
43,"Gonyaulax",109519
44,"Odontella",148963
45,"Guinardia striata",149113
46,"Paralia sulcata",149055
48,"Hemiaulus",-999
49,"Chaetoceros didymus",149122
50,"Leptocylindrus mediterraneus",149230
51,"Parvicorbicula socialis",105588
52,"Delphineis",149179
53,"amoeba",605376
56,"Euplotes sp",""
57,"Laboea strobila",101264
58,"Leegaardiella ovalis",101206
62,"Strombidium capitatum",101282
63,"Strombidium conicum",101289
64,"Strombidium inclinatum",428332
67,"Strombidium oculatum",101320
68,"Strombidium wulffi",101344
69,"Tiarina fusus",247943
70,"Tintinnida",425497
71,"Tontonia appendiculariformis",101345
72,"Tontonia gracillima",101347
73,"Akashiwo",231787
75,"Bacillaria",149148
77,"Cochlodinium",109474
78,"Chrysochromulina",115090
79,"Emiliania huxleyi",115104
80,"Heterocapsa rotundata",110152
81,"Heterocapsa triquetra",110153
82,"Karenia",231788
84,"Protoperidinium",109553
86,"Pseudochattonella farcimen",531467
87,"Pyramimonas longicauda",160513
88,"flagellate sp1",""
90,"flagellate sp3",""
92,"bead",""
93,"bubble",""
94,"pollen",""
97,"camera spot",""
26,"Corymbellus",162518
108,"Dinophyceae",19542
32,"Chrysochromulina lanceolata",388470
107,"Bacillariophyceae",148899
55,"Didinium",341301
59,"Mesodinium",179320
60,"Pleuronema",""
61,"Strobilidium",101185
65,"Strombidium sp1",101195
66,"Strombidium sp2",101195
74,"Amphidinium",109473
76,"Biddulphia",148967
83,"Katodinium or Torodinium",109410
85,"Proterythropsis sp",231794
98,"Balanion",292899
100,"Eutintinnus",183543
101,"Favella",172431
102,"Helicostomella subulata",240437
103,"Stenosemella sp1",178825
104,"Stenosemella pacifica",417165
105,"Tintinnidium mucicola",247944
89,"Calciopappus",235858
112,"Syracosphaera pulchra",235979
110,"Apedinella",248096
111,"Alexandrium",109470
109,"Vicicitus globosus",146203
106,"Tintinnopsis",163780
91,"pennate morphotype1",""
113,"Ophiaster",115081
54,"Ciliate mix",1348
47,"mix elongated",148899
24,"pennate",148899
114,"Acanthoica quattrospina",235802
115,"Radiozoa",582421
116,"Bacteriastrum",149118
96,"zooplankton",2
117,"Chaetoceros peruvianis",""
118,"Chaetoceros debilis",""
119,"Chaetoceros curvusetus",149221
120,"Chaetoceros socialis",149123
121,"Chaetoceros subtilis",156621
122,"Chaetoceros danicus",149120
123,"Chaetoceros concavicornis",156607
124,"Oxytoxum",109528
